0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
1	2	2	1	1	1	1	1	1	1	1	1	2	
2	1	1	1	1	1	1	1	1	1	1	1	1	
3	1	2	1	1	1	1	1	1	1	1	1	2	
4	1	3	2	2	1	2	2	1	2	2	2	3	
5	0	3	2	1	1	2	2	1	1	1	3	3	
6	0	3	3	2	2	3	3	3	2	2	2	3	
7	0	2	2	1	2	1	1	2	2	2	1	2	
8	0	3	3	1	3	3	3	3	3	3	2	3	
9	0	3	2	2	2	2	2	2	2	2	2	3	
10	1	3	2	2	2	2	2	2	2	2	2	3	
11	1	2	1	1	1	2	2	1	1	1	1	2	
12	1	1	1	1	1	1	1	1	1	1	1	1	
13	1	2	1	1	1	2	2	1	1	1	1	2	
14	1	2	1	1	1	1	1	1	1	1	1	2	
15	1	2	1	1	1	1	1	1	1	1	2	2	
16	0	3	2	1	2	2	2	2	2	2	1	3	
17	0	3	3	1	2	3	3	3	2	2	1	3	
18	0	3	2	1	1	2	2	2	1	1	2	3	
19	1	2	1	1	1	2	2	1	1	1	1	2	
20	1	2	1	1	1	1	1	1	1	1	1	2	
21	2	2	1	2	1	2	2	1	1	1	2	2	
22	1	1	1	1	1	1	1	1	1	1	1	1	
23	1	2	1	2	1	1	1	1	1	1	2	2	
24	1	3	2	2	2	2	2	2	2	2	1	3	
25	0	3	2	1	1	2	2	2	1	1	1	3	
26	0	3	3	1	2	3	3	3	2	2	1	3	
27	0	2	2	1	2	1	1	2	2	2	0	2	
28	0	3	3	1	3	3	3	3	3	3	2	3	
29	0	3	2	0	2	2	2	2	2	3	0	3	
30	1	3	2	2	2	2	2	2	2	3	3	3	
31	1	2	1	1	1	2	2	1	1	1	1	2	
32	1	1	1	1	1	1	1	1	1	1	1	1	
33	1	2	1	1	1	2	2	1	1	1	1	2	
34	1	2	1	1	1	1	1	1	1	1	1	2	
35	1	2	1	1	1	1	1	1	1	1	1	2	
36	0	3	2	1	1	2	2	2	2	1	2	3	
37	0	3	3	0	2	3	3	3	2	1	1	3	
38	0	3	2	1	1	2	2	1	1	1	1	3	
39	1	2	1	1	1	2	2	1	1	1	1	2	
